"astro-ph/0012040","Alexander Kusenko","Alexander Kusenko and Vadim A. Kuzmin","Possible galactic sources of ultrahigh-energy cosmic rays and a strategy
  for their detection via gravitational lensing","3 pages, one figure; references added","Pisma Zh.Eksp.Teor.Fiz.73:503,2001; JETP Lett.73:443-445,2001","10.1134/1.1385653","UCLA/00/TEP/28, BNL-HET-00/43","astro-ph hep-ph",,"  If decays of superheavy relic particles in the galactic halo are responsible
for ultrahigh-energy cosmic rays, these particles must be clustered to account
for small-scale anisotropy in the AGASA data. We show that the masses of such
clusters are large enough for them to gravitationally lens stars and galaxies
in the background. We propose a general strategy that can be used to detect
such clusters via gravitational lensing, or to rule out the hypothesis of
decaying relic particles as the origin of highest-energy cosmic rays.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 23:50:20 GMT""},{""version"":""v2"",""created"":""Thu, 12 Apr 2001 23:39:19 GMT""}]","2014-10-13"
"hep-ph/0012047","A. K. Chaudhuri","A. K. Chaudhuri","On possible $\Theta$ vacua states in heavy ion collisions","5 pages including 3 figures","Phys.Rev. C64 (2001) 054902","10.1103/PhysRevC.64.054902",,"hep-ph",,"  We have simulated the possible $\Theta$ vacua states in heavy ion collisions.
In a quench like scenario, random phases of the chiral fields were evolved in a
zero temperature potential incorporating the breaking of $U_A(1)$ symmetry.
Initial random phases very quickly settles into oscillation around the values
dictated by the potential. The simulation indicate that $\Theta$ vacua states
that can be populated in heavy ion collisions is a coherent superposition of a
number of modes.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 11:58:22 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 2000 04:39:23 GMT""}]","2009-10-31"
"hep-ph/0012048","Neelima","N. G. Kelkar and M. Nowakowski","Statistical model for pionic partons","revised manuscript, 11 pages, LaTex, including 4 figures, to appear
  in Phys. Lett. B","Phys.Lett. B513 (2001) 77-82","10.1016/S0370-2693(01)00377-X",,"hep-ph",,"  We present a model for the structure of the pion. Based on ideas of a
recently developed statistical model of the nucleon, we assume the pion to be a
gas of partons. The finite-size corrections (FSC) are incorporated through two
parameters. Using the same two FSC parameters for the proton and pion we
reproduce quantitatively the data on $\pi^- N \to \mu^+ \mu^- X$ Drell-Yan
production and valence quark distribution of the pion.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 12:56:17 GMT""},{""version"":""v2"",""created"":""Thu, 22 Feb 2001 05:51:04 GMT""}]","2009-10-31"
"hep-ph/0012049","Rafel Escribano","A. Bramon, R. Escribano and M.D. Scadron","Radiative VPgamma transitions and eta-eta' mixing","10 pages","Phys.Lett. B503 (2001) 271-276","10.1016/S0370-2693(01)00161-7","LNF-00/31(P), UAB-FT-498","hep-ph",,"  A value for the $\eta$-$\eta^\prime$ mixing angle is extracted from the data
on $VP\gamma$ transitions using simple quark-model ideas. The set of data
covers {\it all} possible radiative transitions between the pseudoscalar and
vector meson nonets. Two main ingredients of the model are the introduction of
flavour-dependent overlaps for the various $q\bar{q}$ wave functions and the
use of the quark-flavour basis to describe the $\eta$-$\eta^\prime$ system. In
this basis the mixing angle is found to be $\phi_P=(37.7\pm 2.4)^\circ$.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 14:28:49 GMT""}]","2009-10-31"
"hep-ph/0012050","Rafel Escribano","R. Escribano","Chiral loop and LsigmaM predictions for phi->pi0etagamma","10 pages, 2 figures. Talk given at the Hadron Structure'2000
  Conference, Stara Lesna, High Tatras Mountains, Slovakia, 2-7 October 2000",,,"LNF-00/32(P)","hep-ph",,"  A prediction for the contributions of chiral loops and the L$\sigma$M model
to the radiative $\phi\to\pi^0\eta\gamma$ decay mode is presented. The
L$\sigma$M is used as an appropriate framework for describing the pole effects
of the $a_0(980)$ scalar resonance. As a result, a better agreement with
present available data is achieved for the higher part of the $\pi^0\eta$
invariant mass spectrum. For the branching ratio, a value of
$B(\phi\to\pi^0\eta\gamma)=(0.75$--$0.95)\times 10^{-4}$ is found.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 14:59:51 GMT""}]","2007-05-23"
"hep-ph/0012051","Bing An Li","Bing An Li (Univ. of Kentucky)","Prediction of three heavy spin-0 particles in the SM","33 pages",,,,"hep-ph",,"  The axial-vector couplings of the internediate bosons with fermions lead to
the prediction of three very heavy spin-0 states in the SM, whose masses are
about 10^{14}GeV. If these states on mass shell there are problems of negative
probability. A new perturbation theory of the SM is proposed.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 15:38:46 GMT""},{""version"":""v2"",""created"":""Wed, 6 Dec 2000 14:18:33 GMT""},{""version"":""v3"",""created"":""Thu, 21 Dec 2000 14:56:14 GMT""}]","2007-05-23"
"hep-th/0012011","Chris Pope","M. Cvetic, G.W. Gibbons, H. Lu and C.N. Pope","Ricci-flat Metrics, Harmonic Forms and Brane Resolutions","Latex, 51 pages; Typos corrected, further discussion added,
  especially on various global issues","Commun.Math.Phys.232:457-500,2003","10.1007/s00220-002-0730-3",,"hep-th",,"  We discuss the geometry and topology of the complete, non-compact, Ricci-flat
Stenzel metric, on the tangent bundle of S^{n+1}. We obtain explicit results
for all the metrics, and show how they can be obtained from first-order
equations derivable from a superpotential. We then provide an explicit
construction for the harmonic self-dual (p,q)-forms in the middle dimension
p+q=(n+1) for the Stenzel metrics in 2(n+1) dimensions. Only the (p,p)-forms
are L^2-normalisable, while for (p,q)-forms the degree of divergence grows with
|p-q|. We also construct a set of Ricci-flat metrics whose level surfaces are
U(1) bundles over a product of N Einstein-Kahler manifolds, and we construct
examples of harmonic forms there. As an application, we construct new examples
of deformed supersymmetric non-singular M2-branes with such 8-dimensional
transverse Ricci-flat spaces. We show explicitly that the fractional D3-branes
on the 6-dimensional Stenzel metric found by Klebanov and Strassler is
supported by a pure (2,1)-form, and thus it is supersymmetric, while the
example of Pando Zayas-Tseytlin is supported by a mixture of (1,2) and (2,1)
forms. We comment on the implications for the corresponding dual field theories
of our resolved brane solutions.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 20:40:23 GMT""},{""version"":""v2"",""created"":""Tue, 16 Jan 2001 23:49:38 GMT""}]","2009-10-31"
"hep-th/0012017","Diego J. Navarro","Alessandro Fabbri, Diego J. Navarro and Jose Navarro-Salas","Exact late time Hawking radiation and the information loss problem for
  evaporating near-extremal black holes","LaTeX file, 4 pages, 1 figure; revised version",,,"FTUV-00-1204","hep-th gr-qc",,"  In this paper we investigate the effects of gravitational backreaction for
the late time Hawking radiation of evaporating near-extremal black holes. This
problem can be studied within the framework of an effective one-loop solvable
model on AdS_2. We find that the Hawking flux goes down exponentially and it is
proportional to a parameter which depends on details of the collapsing matter.
This result seems to suggest that the information of the initial state is not
lost and that the boundary of AdS_2 acts, at least at late times, as a sort of
stretched horizon in the Reissner-Nordstrom spacetime.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 16:33:49 GMT""},{""version"":""v2"",""created"":""Tue, 10 Apr 2001 12:57:57 GMT""}]","2007-05-23"
"hep-th/0012019","Diego J. Navarro","A. Fabbri, D. J. Navarro and J. Navarro-Salas","Evaporation of charged black holes near extremality","LaTeX file, 3 pages. Talk given at the Ninth Marcel Grossmann Meeting",,,"FTUV/00-1204A","hep-th",,"  The AdS_2\timesS^2 geometry of near-extremal Reissner-Nordstrom black holes
can be described by an effective solvable model which allows to follow
analytically the evaporation process including the backreaction. We find that
an infinite amount of time is required for the black hole to decay to
extremality.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 16:25:33 GMT""}]","2007-05-23"
"hep-th/0012020","Don N. Page","Don N. Page","Thermodynamics of Near-Extreme Black Holes","12 pages, Latex, submitted for the proceedings of JGRG10, the 10th
  meeting of the Japanese Society of General Relativity and Gravitation, Osaka,
  2000 Sept. 11-14",,,"Alberta Thy 13-00","hep-th gr-qc",,"  The thermodynamics of nearly-extreme charged black holes depends upon the
number of ground states at fixed large charge and upon the distribution of
excited energy states. Here three possibilities are examined: (1) Ground state
highly degenerate (as suggested by the large semiclassical Hawking entropy of
an extreme Reissner-Nordstrom black hole), excited states not. (2) All energy
levels highly degenerate, with macroscopic energy gaps between them. (3) All
states nondegenerate (or with low degeneracy), separated by exponentially tiny
energy gaps. I suggest that in our world with broken supersymmetry, this last
possibility seems most plausible. An experiment is proposed to distinguish
between these possibilities, but it would take a time that is here calculated
to be more than about 10^837 years.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 17:59:56 GMT""}]","2007-05-23"
"hep-th/0012021","Schroer","Bert Schroer (CBPF Rio de Janeiro)","Braided Structure in 4-dimensional conformal Quantum Field Theory","Dedicated to Gerhard Mack and Robert Schrader on the occasion of
  their 60th birthday, submitted to Phys. Lett. B, 10 pages, improvements of
  the formulation, shortening of the text, addition of a formula, removal of
  typos","Phys.Lett. B506 (2001) 337-343","10.1016/S0370-2693(01)00331-8",,"hep-th hep-ph math-ph math.MP",,"  Higher dimensional conformal QFT possesses an interesting braided structure
which, different from the d=1+1 models, is restricted to the timelike region
and therefore easily escapes euclidean action methods. It lies behind the
spectrum of anomalous dimensions which may be viewed as a kind of substitute
for a missing particle interpretation in the presence of interactions.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 23:44:06 GMT""},{""version"":""v2"",""created"":""Thu, 15 Feb 2001 20:15:54 GMT""}]","2009-10-31"
"hep-th/0012022","Domenico Seminara","L. Cantini, P. Menotti and D. Seminara","Hamiltonian Approach To 2+1 Dimensional Gravity","Latex 10 pages; contribution to the Proceedings of the Marcel
  Grossmann Meeting (MG9) (electronic version)",,,,"hep-th gr-qc",,"  It is shown that the reduced particle dynamics of 2+1 dimensional gravity in
the maximally slicing gauge is of hamiltonian nature. We give the exact
diffeomorphism which transforms the expression of the spinning cone geometry in
the Deser, Jackiw, 't Hooft gauge to the maximally slicing gauge. It is
explicitly shown that the boundary term in the action, written in hamiltonian
form gives the Hamiltonian for the reduced particle dynamics. The quantum
mechanical translation of the two particle Hamiltonian is given and the Green
function computed.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 17:58:09 GMT""}]","2007-05-23"
"hep-th/0012023","Mikhail Plyushchay","Sergey Klishevich and Mikhail Plyushchay","Nonlinear Supersymmetry, Quantum Anomaly and Quasi-Exactly Solvable
  Systems","30 pages, references and comments added. To appear in Nucl. Phys. B","Nucl.Phys. B606 (2001) 583-612","10.1016/S0550-3213(01)00197-3","USACH-FM-00/11","hep-th math-ph math.MP nlin.SI quant-ph",,"  The nonlinear supersymmetry of one-dimensional systems is investigated in the
context of the quantum anomaly problem. Any classical supersymmetric system
characterized by the nonlinear in the Hamiltonian superalgebra is
symplectomorphic to a supersymmetric canonical system with the holomorphic form
of the supercharges. Depending on the behaviour of the superpotential, the
canonical supersymmetric systems are separated into the three classes. In one
of them the parameter specifying the supersymmetry order is subject to some
sort of classical quantization, whereas the supersymmetry of another extreme
class has a rather fictive nature since its fermion degrees of freedom are
decoupled completely by a canonical transformation. The nonlinear supersymmetry
with polynomial in momentum supercharges is analysed, and the most general
one-parametric Calogero-like solution with the second order supercharges is
found. Quantization of the systems of the canonical form reveals the two
anomaly-free classes, one of which gives rise naturally to the quasi-exactly
solvable systems. The quantum anomaly problem for the Calogero-like models is
``cured'' by the specific superpotential-dependent term of order $\hbar^2$. The
nonlinear supersymmetry admits the generalization to the case of
two-dimensional systems.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 18:38:22 GMT""},{""version"":""v2"",""created"":""Fri, 8 Dec 2000 20:58:26 GMT""},{""version"":""v3"",""created"":""Mon, 23 Apr 2001 18:13:44 GMT""}]","2009-10-31"
"hep-th/0012024",,"C.P. Martin and D. Sanchez-Ruiz (Universidad Complutense de Madrid)","The BRS invariance of noncommutative U(N) Yang-Mills theory at the
  one-loop level","Corrected typos. Version to appear in Nuclear Physics B","Nucl.Phys. B598 (2001) 348-370","10.1016/S0550-3213(01)00015-3","FT/UCM-60-2000","hep-th",,"  We show that U(N) Yang-Mills theory on noncommutative Minkowski space-time
can be renormalized, in a BRS invariant way, at the one-loop level, by
multiplicative dimensional renormalization of its coupling constant, its gauge
parameter and its fields. It is shown that the Slavnov-Taylor equation, the
gauge-fixing equation and the ghost equation hold, up to order $\hbar$, for the
MS renormalized noncommutative U(N) Yang-Mills theory. We give the value of the
pole part of every 1PI diagram which is UV divergent.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 19:37:32 GMT""},{""version"":""v2"",""created"":""Thu, 14 Dec 2000 11:46:35 GMT""},{""version"":""v3"",""created"":""Thu, 25 Jan 2001 14:15:03 GMT""}]","2009-10-31"
"hep-th/0012025","Juan Maldacena","Juan Maldacena and Liat Maoz","De-singularization by rotation","harvmac. 2 figures. v2,3,4: References added, typos corrected","JHEP 0212 (2002) 055","10.1088/1126-6708/2002/12/055",,"hep-th",,"  We consider certain BPS supergravity solutions of string theory which have
singularities and we show that the singularity goes away when we add angular
momentum. These smooth solutions enable us to obtain {\it global} $AdS_3$ as
the near horizon geometry of a BPS brane system in an asymptotically flat
space.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 23:04:30 GMT""},{""version"":""v2"",""created"":""Mon, 8 Jan 2001 14:54:33 GMT""},{""version"":""v3"",""created"":""Wed, 10 Jan 2001 13:52:25 GMT""},{""version"":""v4"",""created"":""Sat, 29 Mar 2003 00:00:31 GMT""}]","2009-10-31"
"hep-th/0012026","Ruslan Metsaev","R.R.Metsaev","On manifest SU(4) invariant superstring action in AdS(5) x S(5)","v2: typos corrected, references and a few technicalities added","Class.Quant.Grav. 18 (2001) 1245-1260","10.1088/0264-9381/18/7/308","FIAN/TD/00-23, OHSTPY-HEP-T-00-031","hep-th",,"  We discuss manifestly SL(2,C)x SU(4) and kappa invariant superstring action
in AdS(5) x S(5) background in the framework of Green-Schwarz formulation. The
action is formulated in terms of 16 Poincare fermionic coordinates which
through AdS/CFT correspondence should represent N=4 SYM superspace and 16
superconformal fermionic coordinates. The action is also manifestly invariant
with respect to the usual N=4 Poincare superalgebra transformations.
kappa-symmetry gauge fixing and the derivation of light-cone gauge action is
simplified.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 23:40:36 GMT""},{""version"":""v2"",""created"":""Mon, 11 Dec 2000 23:50:40 GMT""}]","2009-10-31"
"hep-th/0012027","Fan Wang","Wei-Min Sun, Xiang-Song Chen and Fan Wang","Some Problems Concerning Interchange of Order of Integration in
  Functional Integral Formalism of U(1) Gauge Field Theories","3 pages, revtex","Phys.Lett. B503 (2001) 430-432","10.1016/S0370-2693(01)00245-3",,"hep-th",,"  We show that in the functional integral formalism of U(1) gauge field theory
some formal manipulation such as interchange of order of integration can yield
erroneous results. The example studied is analysed by Fubini theorem.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 11:03:44 GMT""}]","2009-10-31"
"hep-th/0012028","Jose M. Carmona","J.M. Carmona, J.L. Cortes","Infrared and ultraviolet cutoffs of quantum field theory","5 pages, no figures; general discussion improved, main results
  unchanged. Version to appear in PRD","Phys.Rev. D65 (2002) 025006","10.1103/PhysRevD.65.025006",,"hep-th hep-ph",,"  Quantum gravity arguments and the entropy bound for effective field theories
proposed in PRL 82, 4971 (1999) lead to consider two correlated scales which
parametrize departures from relativistic quantum field theory at low and high
energies. A simple estimate of their possible phenomenological implications
leads to identify a scale of around 100 TeV as an upper limit on the domain of
validity of a quantum field theory description of Nature. This fact agrees with
recent theoretical developments in large extra dimensions. Phenomenological
consequences in the beta-decay spectrum and cosmic ray physics associated to
possible Lorentz invariance violations induced by the infrared scale are
discussed. It is also suggested that this scale might produce new unexpected
effects at the quantum level.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 12:20:10 GMT""},{""version"":""v2"",""created"":""Fri, 21 Sep 2001 15:27:39 GMT""}]","2012-03-15"
"hep-th/0012030","Takashi Yokono","Kazutoshi Ohta and Takashi Yokono","Linear Dilaton Background and Fully Localized Intersecting Five-branes","1+16 pages, latex, no figures, references added","Phys.Rev. D63 (2001) 105011","10.1103/PhysRevD.63.105011","KUNS-1701","hep-th",,"  We investigate a near-horizon geometry of NS5-branes wrapping on a Riemann
surface, which asymptotically approaches to linear dilaton backgrounds. We
concretely find a fully localized solution of the near-horizon geometry of
intersecting NS5-branes. We also discuss a relation to a description of
Landau-Ginzburg theories.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 14:43:26 GMT""},{""version"":""v2"",""created"":""Tue, 9 Jan 2001 11:37:21 GMT""}]","2009-10-31"
"hep-th/0012031","Pasipoularidis Paul","Pavlos Pasipoularides","Fermion-induced effective action in the presence of a static
  inhomogeneous magnetic field","Latex, 25 pages, 10figures, several additions","Phys.Rev. D64 (2001) 105011","10.1103/PhysRevD.64.105011",,"hep-th",,"  We present a numerical study of the fermion-induced effective action in the
presence of a static inhomogeneous magnetic field for both 3+1 and 2+1
dimensional QED using a novel approach. This approach is appropriate for
cylindrically symmetric magnetic fields with finite magnetic flux $\Phi$. We
consider families of magnetic fields, dependent on two parameters, a typical
value $B_{m}$ for the field and a typical range d. We investigate the behavior
of the effective action for three distinct cases: 1) keeping $\Phi$ (or
$B_{m}d^{2}$) constant and varying d, 2) keeping $B_{m}$ constant and varying d
and 3) keeping d constant and varying $\Phi$ (or $B_{m}d^{2}$). We note an
interesting difference as d tends to infinity (case 2) between smooth and
discontinuous magnetic fields. In the strong field limit (case 3) we also
derive an explicit asymptotic formula for the 3+1 dimensional action. We study
the stability of the magnetic field and we show that magnetic fields of the
type we examine remain unstable, even in the presence of the fermions. In the
appropriate regions we check our numerical results against the Schwinger
formula (constant magnetic field), the derivative expansion and the numerical
work of M. Bordag and K. Kirsten. The role of the Landau levels for the
effective action, and the appearance of metastable states for large magnetic
flux, are discussed in an appendix.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 15:07:13 GMT""},{""version"":""v2"",""created"":""Tue, 5 Jun 2001 14:39:45 GMT""}]","2009-10-31"
"hep-th/0012032","Patrick Meessen","N. Alonso-Alberca, P. Meessen and T. Ortin","An Sl(3,R) multiplet of 8-dimensional type II supergravity theories and
  the gauged supergravity inside","Latex2e, 20 pages, reference corrected","Nucl.Phys. B602 (2001) 329-345","10.1016/S0550-3213(01)00110-9","IFT-UAM/CSIC-00-38, KUL-TF-2000/28","hep-th gr-qc",,"  The so-called ``massive 11-dimensional supergravity'' theory gives, for one
Killing vector, Romans' massive 10-dimensional supergravity in 10 dimensions,
for two Killing vectors an Sl(2,Z) multiplet of massive 9-dimensional
supergravity theories that can be obtained by standard generalized dimensional
reduction type IIB supergravity and has been shown to contain a gauged
supergravity. We consider a straightforward generalization of this theory to
three Killing vectors and a 3\times 3 symmetric mass matrix and show that it
gives an Sl(3,Z) multiplet of 8-dimensional supergravity theories that contain
an SO(3) gauged supergravity which is, in some way, the dual to the one found
by Salam and Sezgin by standard generalized dimensional reduction.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 15:18:55 GMT""},{""version"":""v2"",""created"":""Fri, 22 Dec 2000 16:58:49 GMT""}]","2009-10-31"
"math/0012021","Brooke Shipley","Stefan Schwede and Brooke Shipley","A uniqueness theorem for stable homotopy theory",,"Mathematische Zeitschrift 239 (2002), 803-828","10.1007/s002090100347",,"math.AT",,"  In this paper we study the global structure of the stable homotopy theory of
spectra. We establish criteria for when the homotopy theory associated to a
given stable model category agrees with the classical stable homotopy theory of
spectra. One sufficient condition is that the associated homotopy category is
equivalent to the stable homotopy category as a triangulated category with an
action of the ring of stable homotopy groups of spheres. In other words, the
classical stable homotopy theory, with all of its higher order information, is
determined by the homotopy category as a triangulated category with an action
of the stable homotopy groups of spheres. Another sufficient condition is the
existence of a small generating object (corresponding to the sphere spectrum)
for which a specific `unit map' from the infinite loop space QS^0 to the
endomorphism space is a weak equivalence.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 16:00:03 GMT""}]","2020-01-13"
"math/0012022","Brooke Shipley","Brooke Shipley","Monoidal uniqueness theorems for stable homotopy theory",,,,,"math.AT",,"  We show that the monoidal product on the stable homotopy category of spectra
is essentially unique. This strengthens work of this author with Schwede on the
uniqueness of models of the stable homotopy theory of spectra. As an
application we show that with an added assumption about underlying model
structures Margolis' axioms uniquely determine the stable homotopy category of
spectra up to monoidal equivalence. Also, the equivalences constructed here
give a unified construction of the known equivalences of the various symmetric
monoidal categories of spectra (S-modules, \W-spaces, orthogonal spectra,
simplicial functors) with symmetric spectra. The equivalences of modules,
algebras and commutative algebras in these categories are also considered.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 16:50:03 GMT""}]","2007-05-23"
"math/0012023","Boris Zilber","Boris Zilber","Fields with pseudo-exponentiation",,,,,"math.LO",,"  We study the structure of an algebraically closed field with extra function
resembling the classical exponentiation on complex numbers.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 18:19:40 GMT""}]","2007-05-23"
"math/0012024","Georges Racinet","Georges Racinet","Torseurs associes a certaines relations algebriques entre polyzetas aux
  racines de l'unite","LateX with AMS symbols. 11 pages, french with abridged english
  version. Problem with distribution relations solved. Some left/right
  confusions corrected. Some typos and such","C.R. Acad. Sci. Paris ser. I math. 333 (2001), no. 1, pp 5--10 &
  11-16",,,"math.QA math.AG",,"  We describe in this note a torsor structure arising on the affine scheme
defined by a system of rationnal algebraic relations between polyzetas at roots
of unity (values of hyperlogarithmic functions on a fixed finite group of
complex roots of unity).
  When this group is reduced to 1, we call these numbers the polyzetas. They
generalize the values of the Riemann zeta function at odd positive integers and
are also called MZVs, multizetas, multiple harmonic series or Euler/Zagier
sums. It is believed that the relations we consider here span all algebraic
relations between them. The torsor structure underlying these relations should
in that case be se same as Drinfeld's torsor made of the Grothendieck-
Teichmueller group acting on associators.
  The formulas for the general case are derived from the action of the absolute
Galois group on the projective line minus finitely many points. It is an easy
consequence of the torsor structure that the algebra defined by these relations
is a polynomial algebra. This was stated first by J. Ecalle in the polyzetas
case.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 22:32:48 GMT""},{""version"":""v2"",""created"":""Tue, 12 Dec 2000 14:20:10 GMT""},{""version"":""v3"",""created"":""Mon, 5 Mar 2001 19:29:43 GMT""}]","2007-05-23"
"math/0012025","Sergei Merkulov","S.A. Merkulov","Semi-infinite A-variations of Hodge structure over extended Kahler cone","24 pages; small corrections","Intern. Math. Research Notices 21 (2001) 1111-1139",,,"math.AG",,"  This is an expanded comment on Barannikov's paper math.AG/0006193. A
symplectic version of his construction is discussed. It is shown that the
duality transformation for mirror torus fibrations over the same Monge-Ampere
manifold exchanges semi-infinite A-variations of Hodge structure introduced in
this paper with Barannikov's semi-infinite B-variations of Hodge structure.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 18:58:56 GMT""},{""version"":""v2"",""created"":""Wed, 27 Dec 2000 14:41:02 GMT""}]","2007-05-23"
"math/0012026","R. W. van der Hofstad","Remco van der Hofstad (Delft U. of Tech.), Gordon Slade (U. of British
  Columbia)","A generalised inductive approach to the lace expansion","37 pages, in AMS-LaTex",,,,"math.PR math.CO",,"  The lace expansion is a powerful tool for analysing the critical behaviour of
self-avoiding walks and percolation. It gives rise to a recursion relation
which we abstract and study using an adaptation of the inductive method
introduced by den Hollander and the authors. We give conditions under which the
solution to the recursion relation behaves as a Gaussian, both in Fourier space
and in terms of a local central limit theorem. These conditions are shown
elsewhere to hold for sufficiently spread-out models of networks of
self-avoiding walks in dimensions $d>4$, and for critical oriented percolation
in dimensions $d+1>5$, providing a unified approach and an essential ingredient
for a detailed analysis of the branching behaviour of these models.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 10:08:19 GMT""}]","2007-05-23"
"math/0012027","Brendan Guilfoyle","Brendan S. Guilfoyle","Einstein Metrics Adapted to Contact Structures on 3-Manifolds","14 Pages RevTex",,,,"math.DG",,"  The Newman-Penrose-Perjes formalism is applied to smooth contact structures
on riemannian 3-manifolds. In particular it is shown that a contact 3-manifold
admits an adapted riemannian metric if and only if it admits a metric with a
divergence-free, constantly twisting, geodesic congruence. The shear of this
congruence is identified with the torsion of the associated pseudohermitian
structure, while the Tanaka-Webster curvature is identified with certain
derivatives of the spin coefficients. The particular case where the associated
riemannian metric is Einstein is studied in detail. It is found that the
torsion is constant and the field equations are completely solved locally.
Hyperbolic space forms are shown not to have adapted contact structures, even
locally, while contact structures adapted to a flat or elliptic space form are
contact isometric to the standard one.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 11:19:03 GMT""}]","2007-05-23"
"math/0012028","Masatoshi Noumi","Masatoshi Noumi and Yasuhiko Yamada","Birational Weyl group action arising from a nilpotent Poisson algebra","31 pages, LaTeX",,"10.1142/9789812810199_0010",,"math.QA math.RT",,"  We propose a general method to realize an arbitrary Weyl group of Kac-Moody
type as a group of birational canonical transformations, by means of a
nilpotent Poisson algebra. We also give a Lie theoretic interpretation of this
realization in terms of Kac-Moody Lie algebras and Kac-Moody groups.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 11:40:02 GMT""}]","2017-08-23"
"nucl-th/0012010","Kaminski","A. Bobyk, W. A. Kaminski, F. Simkovic","Neutrinoless double beta decay within Self-consistent Renormalized
  Quasiparticle Random Phase Approximation and inclusion of induced nucleon
  currents","13 pages, 3 figures, 1 table","Phys.Rev.C63:051301,2001","10.1103/PhysRevC.63.051301",,"nucl-th",,"  The first, to our knowledge, calculation of neutrinoless double beta decay
($0\nu\beta\beta$-decay) matrix elements within the self-consistent
renormalised Quasiparticle Random Phase Approximation (SRQRPA) is presented.
The contribution from the momentum-dependent induced nucleon currents to
$0\nu\beta\beta$-decay amplitude is taken into account. A detailed nuclear
structure study includes the discussion of the sensitivity of the obtained
SRQRPA results for $0\nu\beta\beta$-decay of $^{76}$Ge to the parameters of
nuclear Hamiltonian, two-nucleon short-range correlations and the truncation of
the model space. A comparision with the standard and renormalized QRPA is
presented. We have found a considerable reduction of the SRQRPA nuclear matrix
elements, resulting in less stringent limits for the effective neutrino mass.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 18:07:26 GMT""}]","2009-02-18"
"nucl-th/0012011","T. Goldman","Jialun Ping (Nanjing Normal U), Fan Wang (Nanjing U) and T. Goldman
  (LANL)","The d* dibaryon in the extended quark-delocalization, color-screening
  model","9 pages, no figures, LaTeX, subm. to Phys. Rev. C","Phys.Rev.C65:044003,2002","10.1103/PhysRevC.65.044003","LA-UR-00-5688","nucl-th hep-ph",,"  The quark-delocalization, color-screening model, extended by inclusion of a
one-pion-exchange (OPE) tail, is applied to the study of the deuteron and the
d* dibaryon. The results show that the properties of the deuteron (an extended
object) are well reproduced, greatly improving the agreement with experimental
data as compared to our previous study (without OPE). At the same time, the
mass and decay width of the d* (a compact object) are, as expected, not altered
significantly.
","[{""version"":""v1"",""created"":""Mon, 4 Dec 2000 21:24:31 GMT""}]","2008-11-26"
"nucl-th/0012012","Yongseok Oh","Yongseok Oh, Alexander I. Titov, T.-S. H. Lee","Nucleon resonances in polarized omega photoproduction","5 pages, aipproc.sty, 3 figs (4 eps files), talk at the 14th
  International Spin Physics Symposium (SPIN 2000), Osaka, Japan, October, 2000",,"10.1063/1.1384118",,"nucl-th hep-ph",,"  The role of the nucleon resonances ($N^*$) in $\omega$ photoproduction is
investigated by using the resonance parameters predicted by Capstick and
Roberts. The contributions from the nucleon resonances are found to be
significant in various spin asymmetries. In particular, we found that a crucial
test of our predictions can be made by measuring the parity asymmetry and
beam-target double asymmetry at forward scattering angles.
","[{""version"":""v1"",""created"":""Tue, 5 Dec 2000 08:48:30 GMT""}]","2009-11-06"
