"astro-ph/0012419","Michael T. Murphy","M. T. Murphy (UNSW), J. K. Webb (UNSW), V. V. Flambaum (UNSW), V. A.
  Dzuba (UNSW), C. W. Churchill (PSU), J. X. Prochaska (OCIW), J. D. Barrow
  (DAMTP), A. M. Wolfe (UCSD)","Possible evidence for a variable fine structure constant from QSO
  absorption lines: motivations, analysis and results","17 pages, 3 figures, MNRAS in press, corrected small typos and added
  an acknowledgment","Mon.Not.Roy.Astron.Soc.327:1208,2001","10.1046/j.1365-8711.2001.04840.x",,"astro-ph gr-qc hep-th nucl-th physics.atom-ph",,"  An experimental search for variation in the fundamental coupling constants is
strongly motivated by modern high-energy physics theories. Comparison of quasar
absorption line spectra with laboratory spectra provides a sensitive probe for
variability of the fine structure constant, alpha, over cosmological
time-scales. We have previously developed and applied a new method providing an
order of magnitude gain in precision over previous optical astrophysical
constraints. Here we extend that work by including new quasar spectra of damped
Lyman-alpha absorption systems. We also re-analyse our previous lower redshift
data and confirm our initial results. The constraints on alpha come from
simultaneous fitting of absorption lines of subsets of the following species:
Mg I, Mg II, Al II, Al III, Si II, Cr II, Fe II, Ni II and Zn II. We present a
detailed description of our methods and results based on an analysis of 49
quasar absorption systems (towards 28 QSOs) covering the redshift range 0.5 < z
< 3.5. There is statistical evidence for a smaller alpha at earlier epochs:
da/a = (-0.72 +/- 0.18) * 10^{-5}. The new and original samples are independent
but separately yield consistent and significant non-zero values of da/a. We
summarise the results of a thorough investigation of systematic effects
published in a companion paper. The value we quote above is the raw value, not
corrected for any of these systematic effects. The only significant systematic
effects so far identified, if removed from our data, would lead to a more
significant deviation of da/a from zero.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 22:50:04 GMT""},{""version"":""v2"",""created"":""Thu, 28 Dec 2000 22:59:05 GMT""},{""version"":""v3"",""created"":""Fri, 19 Jan 2001 02:18:10 GMT""},{""version"":""v4"",""created"":""Sun, 22 Jul 2001 06:36:20 GMT""},{""version"":""v5"",""created"":""Tue, 4 Sep 2001 06:18:42 GMT""}]","2008-11-26"
"hep-ph/0012273","Dr. Dubravko Klabucar","Dubravko Klabucar (Zagreb University), Bojan Bistrovic (M.I.T.)","The anomalous gamma -> pi^+ pi^0 pi^- form factor and the light-quark
  mass functions at low momenta","4 pages, 2 figures, sprocl, invited talk presented by D. Klabucar at
  the Mini-Workshop ""Few-Quark Problems"", Bled, Slovenia, July 8-15, 2000","Bled Workshops in Physics, Vol. 1, No. 1, p. 41, proceedings of
  the Mini-Workshop ""Few-Quark Problems"", edited by M. Golli, M. Rosina and S.
  Sirca; published by DMFA - zaloznistvo, Ljubljana 2000, ISSN 1580-4992. Also
  available as electronic edition at http://www-f1.ijs.si/Bled2000/",,"Zagreb University report ZTF-00/07","hep-ph nucl-th",,"  The gamma -> 3 pi form factor was calculated in a simple-minded constituent
model with a constant quark mass parameter, as well as in the Schwinger-Dyson
approach. The comparison of these and various other theoretical results on this
anomalous process, as well as the scarce already available data (hopefully to
be supplemented by more accurate CEBAF data), seem to favor Schwinger-Dyson
modeling which would yield relatively small low-momentum values of the
constituent (dynamically dressed) quark mass function.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 16:07:53 GMT""}]","2007-05-23"
"hep-ph/0012274","K. Splittorff","K. Splittorff, D.T.Son, and M.A. Stephanov","QCD-like Theories at Finite Baryon and Isospin Density","17 pages, 14 figures","Phys.Rev.D64:016003,2001","10.1103/PhysRevD.64.016003",,"hep-ph hep-lat hep-th",,"  We use 2-color QCD as a model to study the effects of simultaneous presence
of chemical potentials for isospin charge, $\mu_I$, and for baryon number,
$\mu_B$. We determine the phase diagrams for 2 and 4 flavor theories using the
method of effective chiral Lagrangians at low densities and weak coupling
perturbation theory at high densities. We determine the values of various
condensates and densities as well as the spectrum of excitations as functions
of $\mu_I$ and $\mu_B$. A similar analysis of QCD with quarks in the adjoint
representation is also presented. Our results can be of relevance for lattice
simulations of these theories. We predict a phase of inhomogeneous condensation
(Fulde-Ferrel-Larkin-Ovchinnikov phase) in the 2 colour 2 flavor theory, while
we do not expect it the 4 flavor case or in other realizations of QCD with a
positive measure.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 16:32:14 GMT""}]","2008-11-26"
"hep-ph/0012275","Aaron Pierce","J. Lorenzo Diaz-Cruz (1 and 2), Hitoshi Murayama (2 and 3), and Aaron
  Pierce (2 and 3) ((1) Insituto de Fisica, BUAP, (2) LBNL, (3) UC-Berkeley)","Can Supersymmetric Loops Correct the Fermion Mass Relations in SU(5)?","6 pages, 3 figures. Fixed minor typos, references added","Phys.Rev.D65:075011,2002","10.1103/PhysRevD.65.075011","UCB-PTH-00/44, LBNL-47229","hep-ph",,"  We investigate three different possibilities for improving the fermion mass
relations that arise in grand unified theories (GUTs). Each scenario relies on
supersymmetric loop effects alone, without modifying the naive Yukawa
unification. First, we consider A-terms that follow the usual proportionality
condition. In this case SUSY effects can improve the mass relations, but not
completely. Interestingly, imposing Yukawa coupling unification for two
families greatly constrains the range of parameters in the MSSM. Secondly, we
employ a new ansatz for the tri-linear A-terms that satisfies all experimental
and vacuum stability bounds, and can successfully modify the mass relations.
Finally, we investigate the use of general (non-proportional) A-terms, with
large off-diagonal entries. In this case flavor changing neutral current (FCNC)
data present an important constraint. We do not pretend to present a complete,
motivated theory of fermion masses. Rather this paper can be viewed as an
existence proof, serving to show that Yukawa coupling unification can occur
even within the framework of minimal GUTs.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 19:21:01 GMT""},{""version"":""v2"",""created"":""Fri, 22 Dec 2000 21:57:29 GMT""},{""version"":""v3"",""created"":""Thu, 26 Apr 2001 20:41:04 GMT""}]","2009-09-29"
"hep-ph/0012276","Nestor Armesto Perez","N. S. Amelin, N. Armesto, C. Pajares and D. Sousa","Baryon and strangeness enhancement at SPS, RHIC and LHC energies in the
  String Fusion Model","RevTeX, 13 pages, 5 eps figures included using epsfig; the code, with
  instructions for installation and use, can be taken by anonymous ftp
  ftp://ftp.uco.es/pub/fa1arpen/psm-1.0.uu",,,"US-FT/21-00, UCOFIS 3/00","hep-ph",,"  Strangeness and baryon enhancement in heavy ion collisions are discussed in
the framework of the String Fusion Model. The Monte Carlo version of this model
is shown to reasonably reproduce three of the features that have been pointed
out as evidences of the finding of the Quark Gluon Plasma. Namely
hyperon/antihyperon enhancement, dependence of the slope of the $p_{T}$
distributions on the mass of the produced particles and on the centrality of
the collision, are described. Predictions for RHIC and LHC energies are
presented.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 19:41:02 GMT""}]","2007-05-23"
"hep-ph/0012277","Jonathan Feng","Jonathan L. Feng (MIT)","Dark Matter Implications for Linear Colliders","4 pages, 2 figures, to appear in the proceedings of Linear Collider
  Workshop 2000, Fermilab, October 2000",,"10.1063/1.1394359","MIT-CTP-3065","hep-ph hep-ex",,"  The existence of dark matter is currently one of the strongest motivations
for physics beyond the standard model. Its implications for future colliders
are discussed. In the case of neutralino dark matter, cosmological bounds do
not provide useful upper limits on superpartner masses. However, in simple
models, cosmological considerations do imply that for supersymmetry to be
observable at a 500 GeV linear collider, some signature of supersymmetry must
appear before the LHC.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 20:22:24 GMT""}]","2009-10-31"
"hep-ph/0012278","Deirdre Black","D. Black, A. H. Fariborz, S. Moussa, S. Nasri, J. Schechter","Unitarized pseudoscalar meson scattering amplitudes in three flavor
  linear sigma models","Submitted to Phys. Rev. D. 45 pages, 12 figures","Phys.Rev.D64:014031,2001","10.1103/PhysRevD.64.014031",,"hep-ph",,"  The three flavor linear sigma model is studied as a ``toy model'' for
understanding the role of possible light scalar mesons in the \pi \pi, \pi K
and \pi \eta scattering channels. The approach involves computing the tree
level partial wave amplitude for each channel and unitarizing by a simple
K-matrix prescription which does not introduce any new parameters. If the
renormalizable version of the model is used there is only one free parameter.
While this highly constrained version has the right general structure to
explain \pi \pi scatteirng, it is ``not quite'' right. A reasonable fit can be
made if the renormalizability (for the {\it effective} Lagrangian) is relaxed
while chiral symmetry is maintained. The occurence of a Ramsauer Townsend
mechanism for the f_0(980) region naturally emerges. The effect of
unitarization is very important and leads to ``physical'' masses for the scalar
nonet all less than about 1 GeV. The a_0(1450) and K_0^*(1430) appear to be
``outsiders'' in this picture and to require additional fields. Comparison is
made with a scattering treatment using a more general non-linear sigma model
approach. In addition some speculative remarks and a highly simplified larger
toy model are devoted to the question of the quark substructure of the light
scalar mesons.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 00:13:55 GMT""}]","2008-11-26"
"hep-ph/0012279","Kazunori Kohri","M. Kawasaki, K. Kohri and Takeo Moroi","Radiative decay of a massive particle and the non-thermal process in
  primordial nucleosynthesis","15 pages, using REVTeX and 3 postscript figures","Phys.Rev.D63:103502,2001","10.1103/PhysRevD.63.103502",,"hep-ph astro-ph",,"  We consider the effects on big bang nucleosynthesis (BBN) of the radiative
decay of a long-lived massive particle. If high-energy photons are emitted
after the BBN epoch ($t \sim 1 - 10^3$ sec), they may change the abundances of
the light elements through photodissociation processes, which may result in a
significant discrepancy between standard BBN and observation. Taking into
account recent observational and theoretical developments in this field, we
revise our previous study constraining the abundance of the
radiatively-decaying particles. In particular, on the theoretical side, it was
recently claimed that the non-thermal production of $^6$Li, which is caused by
the photodissociation of $\hefour$, most severely constrains the abundance of
the radiatively-decaying particle. We will see, however, it is premature to
emphasize the importance of the non-thermal production of $^6$Li because (i)
the theoretical computation of the $^6$Li abundance has large uncertainty due
to the lack of the precise understanding of the $^6$Li production cross
section, and (ii) the observational data of $^6$Li abundance has large errors.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 04:55:47 GMT""}]","2011-05-05"
"hep-ph/0012280","Masanori Miyama","M. Hirai, H. Kobayashi, M. Miyama (Asymmetry Analysis Collaboration)","Determination of polarized parton distribution functions","1+5 pages, LATEX, aipproc.sty, 4 eps figures. Talk given at the 14th
  International Spin Physics Symposium, Osaka, Japan, October 16-21, 2000",,"10.1063/1.1384105","SAGA-HE-169-00, RIKEN-AF-NP-378, TMU-NT-00-1","hep-ph",,"  We study parametrization of polarized parton distribution functions in the
\alpha_s leading order (LO) and in the next-to-leading order (NLO). From \chi^2
fitting to the experimental data on A_1, optimum polarized distribution
functions are determined. The quark spin content \Delta\Sigma is very sensitive
to the small-x behavior of antiquark distributions which suggests that small-x
data are needed for precise determination of \Delta\Sigma. We propose three
sets of distributions and also provide FORTRAN library for our distributions.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 05:30:04 GMT""}]","2009-10-31"
"hep-ph/0012281","Cong-Feng Qiao","Cong-Feng Qiao (Hamburg)","QCD Pomeron at Linear Colliders","Contribution to LCWS2000, Fermilab, 24-28 October, 2000, typos in the
  references corrected",,"10.1063/1.1394346",,"hep-ph",,"  Recent developments in theory on the calculation of \gamma^* \gamma^*
reaction at high energies, in the aim of detecting the BFKL Pomeron signals,
are briefly introduced. The importance of the NLO QCD corrections to the Photon
Impact Factor in the game is highlighted.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 07:37:07 GMT""},{""version"":""v2"",""created"":""Sun, 11 Feb 2001 09:26:23 GMT""}]","2009-10-31"
"hep-ph/0012282","Christian Fischer","S. Ahlig, R. Alkofer, C. Fischer, M. Oettel, H. Reinhardt, and H.
  Weigel","Production Processes as a Tool to Study Parameterizations of Quark
  Confinement","43 pages, Latex, 28 eps files included via epsfig; version to be
  published in Physical Review D","Phys.Rev.D64:014004,2001","10.1103/PhysRevD.64.014004","UNITU--THEP--18/2000","hep-ph nucl-th",,"  We introduce diquarks as separable correlations in the two-quark Green's
function to facilitate the description of baryons as relativistic three-quark
bound states. These states then emerge as solutions of Bethe-Salpeter equations
for quarks and diquarks that interact via quark exchange. When solving these
equations we consider various dressing functions for the free quark and diquark
propagators that prohibit the existence of corresponding asymptotic states and
thus effectively parameterize confinement. We study the implications of
qualitatively different dressing functions on the model predictions for the
masses of the octet baryons as well as the electromagnetic and strong form
factors of the nucleon. For different dressing functions we in particular
compare the predictions for kaon photoproduction, $\gamma p\to K\Lambda$, and
associated strangeness production, $pp\to pK\Lambda$ with experimental data.
This leads to conclusions on the permissibility of different dressing
functions.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 09:51:47 GMT""},{""version"":""v2"",""created"":""Fri, 16 Mar 2001 10:27:07 GMT""}]","2008-11-26"
"hep-ph/0012283","Dmitrij Shirkov","D.V. Shirkov","Analytic Perturbation Theory for QCD observables","19 pages, LaTeX2e","Theor.Math.Phys. 127 (2001) 409-423",,"JINR E2-2000-298","hep-ph",,"  The connection between ghost-free formulations of RG-invariant perturbation
theory in the both Euclidean and Minkowskian regions is studied. Our basic tool
is the ""double spectral representation"", similar to definition of Adler
function, that stems from first principles of local QFT. It relates real
functions defined in the Euclidean and Minkowskian regions. On this base we
establish a simple relation between -- The trick of resummation of the
$\pi^2$-terms (known from early 80s) for the invariant QCD coupling and
observables in the time-like region and -- Invariant Analytic Approach (devised
a few years ago) with the ""analyticized"" coupling $\alpha_{\rm an}(Q^2)$ and
nonpower perturbative expansion for observables in the space-like domain which
are free of unphysical singularities . As a result, we formulate a
self-consistent scheme, Analytic Perturbation Theory (APT), that relates a
renorm-invariant, effective coupling functions $\alpha_{an}(Q^2) $ and
$\tilda{alpha}(s),$ as well as non-power perturbation expansions for
observables in both space- and time-like domains, that are free of extra
singularities and obey better convergence in the infrared region. Then we
consider the quark threshold crossing and devise a global APT scheme for the
data analysis in the whole accessible space-like and time-like domain with
various numbers of active quarks. Preliminary estimates indicate that this
global scheme produces results a bit different, sometimes even in the
five-flavour region, on a few per cent level for $\bar{\alpha}_s$ -- from the
usual one, thus influencing the total picture of the QCD parameter correlation.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 11:31:18 GMT""}]","2007-05-23"
"hep-ph/0012284","Parthasarathi Mitra","H. Banerjee, D. Chatterjee and P. Mitra","Is there still a strong CP problem?","6 pages, REVTeX; brief discussion available at
  http://theory.saha.ernet.in/~mitra/scp.html","Phys.Lett. B573 (2003) 109","10.1016/j.physletb.2003.08.058",,"hep-ph hep-lat hep-th",,"  The role of a chiral U(1) phase in the quark mass in QCD is analysed from
first principles. In operator formulation, there is a parity symmetry and the
phase can be removed by a change in the representation of the Dirac gamma
matrices. Moreover, these properties are also realized in a Pauli-Villars
regularized version of the theory. In the functional integral scenario,
attempts to remove the chiral phase by a chiral transformation are thought to
be obstructed by a nontrivial Jacobian arising from the fermion measure and the
chiral phase may therefore seem to break parity. But if one starts from the
regularized action with the chiral phase also present in the regulator mass
term, the Jacobian for a combined chiral rotation of quarks and regulators is
seen to be trivial and the phase can be removed by a combined chiral rotation.
This amounts to a taming of the strong CP problem.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 12:37:40 GMT""},{""version"":""v2"",""created"":""Mon, 26 Feb 2001 11:52:11 GMT""},{""version"":""v3"",""created"":""Wed, 11 Jul 2001 09:17:08 GMT""},{""version"":""v4"",""created"":""Tue, 16 Sep 2003 11:22:02 GMT""}]","2015-06-25"
"hep-ph/0012285","Jean-Michel Levy","J.-M. Levy","On the group velocity of oscillating neutrino states and the equal
  velocity assumption","8 pages, latex, no figures",,,"LPNHE 00-15","hep-ph",,"  In a two flavour world, the usual equal $p$, equal $E$, or equal $v$
assumptions used to derive the neutrino oscillation length can be replaced by a
specific definition of the velocity of the oscillating state which, unlike
those assumptions, is compatible with exact production kinematics. This
definition is further vindicated by the analysis of $\pi_{\mu 2}$ decay at
rest.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 12:47:10 GMT""}]","2007-05-23"
"hep-ph/0012286","Tsou Sheung Tsun","HM Chan (Rutherford Appleton Lab)","Experimental implications of the dual colour solution to the generation
  puzzle","3 pages, latex, uses ltwol.sty included, invited lecture at the 3rd
  Joint Meeting of Chinese Physicists Worldwide, Hong Kong, August 2000",,,,"hep-ph",,"  Apart from offering explanations not only for the distinctive fermion mass
and mixing patterns but also for the actual values of the mass and mixing
parameters, the dual colour solution to the generation puzzle gives numerous
detailed predictions ranging from rare FCNC meson decays and $\mu$-$e$
conversions in nuclei at low energies to cosmic ray air showers with energies
beyond $10^{20}$ eV at the extreme end of the experimental range. Besides, it
predicts a new class of flavour-violating phenomena (called transmutations) due
to the rotating fermion mass matrix which are unambiguously calculable.
Comparison with experiment of these many ``parameter-free'' predictions reveals
no violation of existing bounds but identifies several striking effects which
can be tested with present experimental sensitivity.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 12:56:30 GMT""}]","2007-05-23"
"hep-ph/0012287",,"Robert W. Johnson and Michael J. Teper","String models of glueballs and the spectrum of SU(N) gauge theories in
  2+1 dimensions","29 pages. Compressed version for publication. See V.1 for useful
  extra details","Phys.Rev. D66 (2002) 036006","10.1103/PhysRevD.66.036006","Oxford preprint OUTP-00-53P","hep-ph hep-lat",,"  The spectrum of glueballs in 2+1 dimensions is calculated within an extended
class of Isgur-Paton flux tube models and is compared to lattice calculations
of the low-lying SU(N) glueball mass spectra. Our modifications of the model
include a string curvature term and different ways of dealing with the flux
tube width. We find that the generic model is remarkably successful at
reproducing the positive charge conjugation, C=+, sector of the spectrum. The
only large (and robust) discrepancy involves the 0-+ state. This raises the
interesting possibility that the lattice spin identification is mistaken and
that this state is in fact 4-+. In addition, the Isgur-Paton model does not
incorporate any mechanism for splitting C=+ from C=- (in contrast to the case
in 3+1 dimensions), while the `observed' spectrum shows a substantial
splitting. We explore several modifications of the model in an attempt to
incorporate this physics in a natural way. At the qualitative level we find
that this constrains our choice to a picture in which the C=+/- splitting is
driven by mixing with new states built on closed loops of adjoint flux. However
a detailed numerical comparison suggests that a model incorporating an
additional direct mixing between loops of opposite orientation is likely to
work better; and that, in any case, a non-zero curvature term will be required.
We also point out that a characteristic of any string model of glueballs is
that the SU(N=infinity) mass spectrum will consist of multiple towers of states
that are scaled up copies of each other. To test this will require a lattice
mass spectrum that extends to somewhat larger masses than currently available.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 13:56:01 GMT""},{""version"":""v2"",""created"":""Tue, 13 Aug 2002 14:33:21 GMT""}]","2009-10-31"
"hep-ph/0012288","Dmitri Kazakov","D. I. Kazakov (JINR, Dubna and ITEP, Moscow)","Beyond the Standard Model (In Search of Supersymmetry)","LaTeX2e, 80 pages, 60 eps figures, v2 references corrected Lectures
  given at the European School for High Energy Physics, Caramulo, Portugal,
  Aug.-Sept. 2000",,,,"hep-ph",,"  The present lectures contain an introduction to low energy supersymmetry, a
new symmetry that relates bosons and fermions, in particle physics. The
Standard Model of fundamental interactions is briefly reviewed, and the
motivation to introduce supersymmetry is discussed. The main notions of
supersymmetry are introduced. The supersymmetric extension of the Standard
Model - the Minimal Supersymmetric Standard Model - is considered in more
detail. Phenomenological features of the MSSM as well as possible experimental
signatures of SUSY are described. An intriguing situation with the
supersymmetric Higgs boson is discussed.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 14:15:15 GMT""},{""version"":""v2"",""created"":""Thu, 11 Jan 2001 16:11:08 GMT""}]","2009-09-25"
"hep-ph/0012289","Andre De Gouvea","G.C. Branco, Andre de Gouvea, M.N. Rebelo (CERN-TH)","Split Fermions in Extra Dimensions and CP Violation","11 pages, 3 eps figures, references added, results unchanged","Phys.Lett.B506:115-122,2001","10.1016/S0370-2693(01)00389-6","CERN-TH/2000-379, FISIST/20-2000/CFIF","hep-ph",,"  We discuss CP violation in the quark sector within a novel approach to the
Yukawa puzzle proposed by Arkani-Hamed and Schmaltz, where Yukawa hierarchies
result from localising the Standard Model quark field wave-functions, at
different positions (in the extra dimensions) in a ``fat-brane.'' We show that
at least two extra dimensions are necessary in order to obtain sufficient CP
violation while reproducing the correct quark mass spectrum and mixing angles.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 15:03:09 GMT""},{""version"":""v2"",""created"":""Mon, 15 Jan 2001 18:55:39 GMT""}]","2014-11-17"
"hep-ph/0012290","Alexei Illarionov","A.Yu. Illarionov, A.G. Litvinenko, G.I. Lykasov","Angle Dependence of Polarization Observables by Fragmentation of
  Deuterons to Pions","Paper contains 7 pages, 2 eps figures, 1 picture - czjphys.sty
  required; to be published in Proc. of the International Workshop ""Symmetry
  and Spin"", Prague-Spin2000, Prague, July 17 - 22, 2000. minor misprints
  corrected, slight refinement of graphics, references added (conclusions
  unchanged)","Czech.J.Phys.51:A307-A313,2001","10.1007/s10582-001-0038-0",,"hep-ph",,"  The fragmentation of deuterons into pions with nonzero angle emitted in the
kinematical region forbidden for free nucleon-nucleon collisions is analyzed.
The inclusive relativistic invariant spectrum of pions and the tensor analyzing
power ${\rm A}_{YY}$ are investigated within the framework of an impulse
approximation using different kinds of the deuteron wave function. The
influence of ${\rm P}$-wave contribution to the deuteron wave function is
studied, too. Our results are compared with the experimental data and other
calculations performed within both the non-relativistic and relativistic
approaches. It was found that theoretical calculations based on IA do not
provide a consistent understanding of the new data in a whole cumulative region
that can be caused by a influence of non-nucleon degrees of freedom.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 15:35:52 GMT""},{""version"":""v2"",""created"":""Mon, 19 Feb 2001 07:32:28 GMT""}]","2009-10-31"
"hep-ph/0012291","Antti Sorri","Kari Enqvist, Kimmo Kainulainen and Antti Sorri","Creation of large spatial fluctuations in neutrino asymmetry by neutrino
  oscillations","1+21 pages, 3 figures","JHEP 0104 (2001) 012","10.1088/1126-6708/2001/04/012","HIP-2000-54/TH, NORDITA 2000/92 HE","hep-ph astro-ph",,"  We consider active-sterile neutrino oscillations in the early universe in an
inhomogeneous isocurvature background. We show that very small initial baryonic
seed-inhomogeneities can trigger a growth of very large amplitude spatial
fluctuations in lepton asymmetry. Domains of varying asymmetry are observed to
persist for a long time despite dissipative effects. The space dependent
asymmetry profiles give rise to MSW-resonances within the domain boundaries,
enhancing dramatically the equilibration of the sterile neutrino species.
According to our one-dimensional toy-model, the effect is so strong that almost
the entire parameter space where exponential growth of asymmetry occurs would
be ruled out by nucleosynthesis.
","[{""version"":""v1"",""created"":""Thu, 21 Dec 2000 15:41:04 GMT""}]","2009-10-31"
"hep-th/0012183","Alberto Guijosa","Ulf H. Danielsson, Alberto Guijosa, Martin Kruczenski","Newtonian Gravitons and D-brane Collective Coordinates in Wound String
  Theory","LaTeX 2e, 31+1 pages; v2: minor changes, reference added; v3: 2
  paragraphs on transverse D-branes added (end of Secs. 3.1 and 5), final
  version to appear in JHEP","JHEP 0103 (2001) 041","10.1088/1126-6708/2001/03/041","UUITP-11/00, USITP-00-18","hep-th",,"  Recently it was shown that NCOS theories are part of a ten-dimensional theory
known as Non-relativistic Wound string theory. We clarify the sense in which
gravity is present in this theory. We show that Wound string theory contains
exceptional unwound strings, including a graviton, which mediate the previously
discovered instantaneous long-range interactions, but are negligible as
asymptotic states. Unwound strings also provide the expected collective
coordinates for the transverse D-branes in the theory. These and other results
are shown to follow both from a direct analysis of the effect of the NCOS limit
on the parent string theory, and from the worldsheet formalism developed by
Gomis and Ooguri, about which we make some additional remarks. We also devote
some attention to supergravity duals, and in particular show that the open and
closed strings of the theory are respectively described by short and long
strings on the supergravity side.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 21:59:30 GMT""},{""version"":""v2"",""created"":""Tue, 16 Jan 2001 14:43:01 GMT""},{""version"":""v3"",""created"":""Thu, 29 Mar 2001 05:33:24 GMT""}]","2009-10-31"
"hep-th/0012188","Pedro Castelo Ferreira","P. Castelo Ferreira and Ian I. Kogan","Open and Unoriented Strings from Topological Membrane - I. Prolegomena","2+43 pages, 25 figures. Major changes, mostly in subsection 4.5 and
  References added","JHEP 0106:056,2001; Erratum-ibid.1004:018,2010","10.1007/JHEP04(2010)018","OUTP-00-31P","hep-th",,"  We study open and unoriented strings in a Topological Membrane (TM) theory
through orbifolds of the bulk 3D space. This is achieved by gauging discrete
symmetries of the theory. Open and unoriented strings can be obtained from all
possible realizations of $C$, $P$ and $T$ symmetries. The important role of $C$
symmetry to distinguish between Dirichlet and Neumman boundary conditions is
discussed in detail.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 17:32:52 GMT""},{""version"":""v2"",""created"":""Tue, 6 Feb 2001 19:59:20 GMT""},{""version"":""v3"",""created"":""Mon, 19 Feb 2001 18:22:21 GMT""},{""version"":""v4"",""created"":""Thu, 28 Jun 2001 17:34:34 GMT""}]","2014-11-18"
"hep-th/0012189","Mikhail  Kalmykov","A.I. Davydychev, M.Yu. Kalmykov","New results for the epsilon-expansion of certain one-, two- and
  three-loop Feynman diagrams","49 pages, LaTeX, two figures (one in eps format), v3 is journal
  version; in v3 the typos in Egs.(2.17), (4.16), (B.12) corrected; in v4 the
  typos in Egs.(2.7),(4.10),(4.25),(B.11) corrected (see p.30 of present
  version)","Nucl.Phys. B605 (2001) 266-318","10.1016/S0550-3213(01)00095-5","MZ-TH/00-52; DESY/01-065","hep-th cond-mat.stat-mech hep-ph math.CA math.NA","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  For certain dimensionally-regulated one-, two- and three-loop diagrams,
problems of constructing the epsilon-expansion and the analytic continuation of
the results are studied. In some examples, an arbitrary term of the
epsilon-expansion can be calculated. For more complicated cases, only a few
higher terms in epsilon are obtained. Apart from the one-loop two- and
three-point diagrams, the examples include two-loop (mainly on-shell)
propagator-type diagrams and three-loop vacuum diagrams. As a by-product, some
new relations involving Clausen function, generalized log-sine integrals and
certain Euler--Zagier sums are established, and some useful results for the
hypergeometric functions of argument 1/4 are presented.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 19:48:03 GMT""},{""version"":""v2"",""created"":""Fri, 12 Jan 2001 11:14:33 GMT""},{""version"":""v3"",""created"":""Thu, 5 Jul 2001 13:07:47 GMT""},{""version"":""v4"",""created"":""Thu, 11 May 2017 11:47:59 GMT""}]","2017-05-12"
"hep-th/0012192","Costas Kounnas","Costas Kounnas","Type II NS Five-Branes: Non Critical Strings and their Topological
  Sectors","LaTex, 10 pages, no figures","Fortsch.Phys.49:599-605,2001","10.1002/1521-3978(200105)49:4/6<599::AID-PROP599>3.3.CO;2-6","ENS preprint LPTENS-00/48","hep-th",,"  The near-horizon geometry of parallel NS5-branes is described by an exact
superconformal 2d field theory based on K^10 = W(k)^4 x M^6, with M^6 a flat
5+1 space time and W(k)^4 =U(1) x SU(2)(k), a four dimensional background with
non-trivial dilaton. The ten-dimensional ``BULK'' spectrum of excitations of
K^10 can be derived combining unitary representations of the N=4 superconformal
theory of W(k)^4 and M^6 in a modular-invariant way. All Bulk states are
massive and belong to the long representations of the N=2 six dimensional
space-time supersymmetry. The NS5-brane states, propagating on M^6, belong to
the short representations of N=2. Both the bulk and the brane spectrum is
derived using the powerful worldsheet technics of the N=4 superconformal
theories. We claim that both bulk and brane states are necessary to well define
the theory. The non abelian U(n) or SO(2n) structure of the 5-brane fields
follows from the fusion coefficients appearing in the correlation functions
involving SU(2)(k) conformal fields.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 16:02:14 GMT""}]","2015-06-25"
"hep-th/0012193","Gianluca Sabella","P. Merlatti and G. Sabella","World Volume Action for Fractional Branes","19 pages, 1 figure; references added","Nucl.Phys.B602:453-466,2001","10.1016/S0550-3213(01)00112-2","DFTT-48/2000; DSF-39/2000","hep-th",,"  We study the world volume action of fractional Dp-branes of type IIA string
theory compactified on the orbifold T^4/Z_2. The geometric relation between
these branes and wrapped branes is investigated using conformal techniques. In
particular we examine in detail various scattering amplitudes and find that the
leading low-energy interactions are consistent with the boundary action derived
geometrically.
","[{""version"":""v1"",""created"":""Wed, 20 Dec 2000 17:18:13 GMT""},{""version"":""v2"",""created"":""Thu, 11 Jan 2001 16:51:41 GMT""}]","2010-11-19"
